"Proyecto","Estado","ExitCode","Script","Log"
"esc1-neu-claude-r4","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-neu-claude-r4\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-neu-claude-r4.log"
"esc1-neu-claude-r5","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-neu-claude-r5\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-neu-claude-r5.log"
"esc1-neu-gemini-r1","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-neu-gemini-r1\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-neu-gemini-r1.log"
"esc1-neu-gemini-r2","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-neu-gemini-r2\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-neu-gemini-r2.log"
"esc1-neu-gemini-r3","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-neu-gemini-r3\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-neu-gemini-r3.log"
"esc1-neu-gemini-r4","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-neu-gemini-r4\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-neu-gemini-r4.log"
"esc1-neu-gemini-r5","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-neu-gemini-r5\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-neu-gemini-r5.log"
"esc1-neu-gpt-r1","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-neu-gpt-r1\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-neu-gpt-r1.log"
"esc1-neu-gpt-r2","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-neu-gpt-r2\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-neu-gpt-r2.log"
"esc1-neu-gpt-r3","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-neu-gpt-r3\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-neu-gpt-r3.log"
"esc1-neu-gpt-r4","EXITOSO","0","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\esc1-neu-gpt-r4\run-sonar-metrics.ps1","C:\ws_ui\sycophancy-code-quality-evaluation\scenarios\_sonar_logs\esc1-neu-gpt-r4.log"
